,text,label
43,"Como puedo preparar 4 chuletas de cerdo con hueso de 1 1/2 a 2 pulgadas de grosor, 2 cucharaditas de sal kosher gruesa, 2 cucharaditas de tomillo fresco picado, 1 cucharadita de romero fresco finamente picado, 1 cucharadita de pimienta negra recién molida, 2 rebanadas de tocino, picadas gruesas, Aceite de oliva (opcional), 4 tazas de puerros cortados en rodajas finas (sólo las partes blancas y verdes pálidas; unos 3 grandes), 3 dientes de ajo picados, 1/4 de taza de brandy, 1 taza de caldo de pollo bajo en sal, 2 cucharaditas de salvia fresca finamente picada, 2 cucharadas de mostaza de Dijon, 1/3 de taza de créme fraîche o crema agria]",cook
44,"Si tengo 4 chuletas de cerdo con hueso de 1 1/2 a 2 pulgadas de grosor, 2 cucharaditas de sal kosher gruesa, 2 cucharaditas de tomillo fresco picado, 1 cucharadita de romero fresco finamente picado, 1 cucharadita de pimienta negra recién molida, 2 rebanadas de tocino, picadas gruesas, Aceite de oliva (opcional), 4 tazas de puerros cortados en rodajas finas (sólo las partes blancas y verdes pálidas; unos 3 grandes), 3 dientes de ajo picados, 1/4 de taza de brandy, 1 taza de caldo de pollo bajo en sal, 2 cucharaditas de salvia fresca finamente picada, 2 cucharadas de mostaza de Dijon, 1/3 de taza de créme fraîche o crema agria]que receta lo usa",cook
45,Quiero Chuletas de cerdo con puerros en salsa de mostaza  como se hace,cook
46,"Que puedo hacer con 2 cucharadas de aceitunas de Kalamata finamente picadas (unas 6) u otras aceitunas negras curadas en salmuera, 2 cucharaditas de alcaparras escurridas, finamente picadas, 1 cucharada de vinagre de vino tinto, 3 cucharadas de aceite de oliva virgen extra, 4 tazas de floretes de coliflor de 1 pulgada (aproximadamente 1 cabeza), 2 cucharadas de hojas de perejil fresco picado (preferiblemente de hoja plana)]",cook
47,Como preparar Espaguetis al limón y parmesano ,cook
48,Como preparar Teeny-Weeny Coxinha ,cook
49,"Que hacer con 1 cucharada de aceite de oliva, 1 1/2 tazas de cebollas picadas, 2 libras de calabaza, pelada, sin semillas y cortada en trozos de 1/2 a 3/4 de pulgada (unas 4 1/2 tazas), 1 taza de caldo de verduras en lata, 1 1/2 cucharadas de chile jalapeño picado sin semillas, 1 cucharada de ajo picado, 1 taza de leche de coco ligera sin azúcar enlatada*., 2 cucharadas de zumo de lima fresco, 1 cucharadita de pasta de curry rojo tailandesa*., 12 onzas de fideos futonaga udon secos (espaguetis de estilo oriental)* o linguini, 1/2 taza de cilantro fresco picado, *Disponible en mercados asiáticos y en la sección de alimentos asiáticos de algunos supermercados.]",cook
50,"Si tengo 3 tazas de harina común o de pan, más la necesaria, 2 cucharaditas de levadura instantánea, 2 cucharaditas de sal kosher o marina gruesa, 1/3 de taza de aceite de oliva, 1 cucharada de hojas de romero fresco]que puedo hacer",cook
51,"Que puedo hacer con 2 onzas de Grand Marnier, 1 onza de ginebra, 1 cucharada de zumo de naranja, 1 cucharada de zumo de limón, 3 o 4 cubitos de hielo, Torcer la cáscara de limón]",cook
52,Como preparar Newtons de manzana con crema de miel ,cook
53,Quiero Judías verdes con jengibre y anacardos  como se hace,cook
54,"Que puedo hacer con 2 cucharaditas de ralladura de lima, 2 cucharadas de zumo de lima fresco, 2 cucharadas de mantequilla sin sal, derretida y enfriada, 1 cucharada de aceite vegetal, 1 cucharadita de azúcar, 1 taza de quinoa, 1 lata (de 14 a 15 onzas) de frijoles negros, enjuagados y escurridos, 2 tomates medianos, cortados en dados, 4 cebollas picadas, 1/4 de taza de cilantro fresco picado]",cook
55,"Como preparar Sundaes de café, chocolate y malvavisco ",cook
56,Quiero Carne de res en patatas fritas de plátano  como se hace,cook
57,Como preparar Tarta de uvas ,cook
58,Como preparar Pollo a la toscana con ensalada tibia de judías ,cook
59,"Que hacer con 1/4 de taza de zumo de limón fresco, 1/2 taza de aceite de oliva, 2 aguacates (de 6 a 8 onzas) maduros y firmes, 3 cabezas de lechuga Bibb (3/4 de libra en total), hojas arrancadas si son grandes, 1 corazón de lechuga romana, cortado transversalmente en trozos de 1 pulgada, 3 rábanos medianos, cortados en rodajas finas]",cook
60,Quiero Avocado Salad  como se hace,cook
61,Como preparar Trufas de cacao y dátiles ,cook
62,Como preparar Pastelitos individuales de naranja y semillas de amapola ,cook
63,"Que hacer con 1 1/4 tazas de nata para montar, 9 onzas de chocolate agridulce de alta calidad (70% de cacao), picado, dividido, 8 onzas de chocolate agridulce de alta calidad (70% de cacao), picado, Cacao en polvo sin azúcar (opcional; para enrollar)]",cook
64,Quiero Trufas de chocolate agridulce  como se hace,cook
65,"Como puedo preparar 6 tazas de caldo de pollo o de caldo enlatado bajo en sodio, 1/2 cucharadita de hilos de azafrán, 1/3 de taza de aceite de oliva, 1 libra de pechuga de pollo deshuesada y sin piel, cortada en trozos del tamaño de un bocado, 1 pimiento rojo pequeño, sin semillas y picado, 1 pimiento verde pequeño, sin semillas y picado, 2 zanahorias pequeñas picadas, 1 cebolla pequeña, pelada y picada, 8 onzas de chorizo español, picado, 3 tazas de arroz español de grano corto, 4 mejillones, sin barba y lavados, 4 almejas, lavadas, 4 gambas peladas y desvenadas, 1 taza de guisantes frescos, 2 limones: 1 en zumo, 1 cortado en gajos para servir]",cook
66,"Como se llama la receta con 6 tazas de caldo de pollo o de caldo enlatado bajo en sodio, 1/2 cucharadita de hilos de azafrán, 1/3 de taza de aceite de oliva, 1 libra de pechuga de pollo deshuesada y sin piel, cortada en trozos del tamaño de un bocado, 1 pimiento rojo pequeño, sin semillas y picado, 1 pimiento verde pequeño, sin semillas y picado, 2 zanahorias pequeñas picadas, 1 cebolla pequeña, pelada y picada, 8 onzas de chorizo español, picado, 3 tazas de arroz español de grano corto, 4 mejillones, sin barba y lavados, 4 almejas, lavadas, 4 gambas peladas y desvenadas, 1 taza de guisantes frescos, 2 limones: 1 en zumo, 1 cortado en gajos para servir]",cook
67,Como preparar Sorbete de vino tinto y frambuesa ,cook
68,Quiero Tarta de migas a la antigua usanza  como se hace,cook
69,"Que hacer con 2 cucharadas (1/4 de barra) de mantequilla, 3/4 de taza de cebolla picada, 3/4 de taza de puerro picado, 1 1/2 tazas de leche entera, dividida, 1/2 cucharadita de sal, 1/3 de taza de sémola de cocción rápida, 4 huevos grandes, separados, 3 cebollas verdes picadas, 1 taza (empaquetada) de queso Monterey Jack rallado con pimiento picante (unas 4 onzas), dividido]",cook
70,"Como preparar Soufflés de sémola, queso y cebolla ",cook
71,"Que hacer con 2 cucharadas de aceite de oliva, 2 cucharadas de zumo de limón fresco, 3 filetes de anchoa, finamente picados, 1 diente de ajo, finamente picado, 2 cucharaditas de orégano finamente picado, 4 (6 onzas) filetes de atún, preferiblemente atún blanco (1 pulgada de grosor; véase la nota del cocinero, abajo), 2 cucharadas de aceite de oliva virgen extra, 2 costillas de apio, cortadas en dados de 1/4 de pulgada, más 3 cucharadas de hojas de apio, picadas gruesas, 2 tomates maduros, cortados en dados de 1/4 de pulgada, 1/4 de taza de aceitunas negras de Kalamata o de otro tipo curadas en salmuera, deshuesadas y picadas en trozos grandes, 2 cucharadas de alcaparras pequeñas, escurridas y picadas, 3 cucharadas de albahaca finamente picada, 1 cucharada de zumo de limón fresco, Equipo: una parrilla de 2 fuegos]",cook
72,Como preparar Atún de Sicilia ,cook
73,"Que hacer con 3 cucharadas de aceite de oliva puro, 2 cucharadas de mantequilla sin sal, 2 cebollas rojas medianas, cortadas en rodajas, Sal Kosher y pimienta negra recién molida al gusto, 1 libra de patatas rojas medianas, lavadas y cortadas en rodajas de 1/4 de pulgada de grosor, Un pargo de 4 libras, eviscerado, escamado y con las branquias pectorales cortadas (pero sin la cola; pida a su pescadero que lo haga), 1/4 de taza de Mojo Verde, más un extra para servir si se desea, 1 libra de tomates maduros, cortados en rodajas, 1/4 de taza de vino blanco seco, Gajos de limón para decorar]",cook
74,"Quiero Pescado en lámina con cebollas dulces, tomates y mojo verde  como se hace",cook
75,"Que hacer con 2 cucharadas de arroz koji granulado, 1 cucharada de Diamond Crystal o 2 cucharaditas de sal kosher Morton, 1 pollo (3 1/2-4 libras), secado a palmaditas, Pimienta negra recién molida]",cook
76,Como preparar Pollo Koji asado ,cook
77,"Quiero Lomo de ternera con salsa de vino tinto, crema de espinacas y patatas fritas trufadas  como se hace",cook
78,"Si tengo 1 1/3 tazas de suero de leche, 1/4 de taza de mostaza de Dijon, 2 cucharadas de aceite de oliva virgen extra, 2 cucharadas de zumo de limón fresco, 2 dientes de ajo prensados, 1/2 cucharadita de sal, 1/2 cucharadita de pimienta negra molida, 6 mitades de pechuga de pollo con piel y huesos (aproximadamente 4 libras), 1 1/3 tazas de panko (pan rallado japonés)*., 3/4 de taza de queso parmesano rallado, 6 cucharadas de harina para todo uso, 1 cucharada de tomillo fresco picado, 1 1/2 cucharaditas de cáscara de limón finamente rallada, 1 1/2 cucharaditas de mostaza seca, 1 cucharadita de pimentón, 1/2 cucharadita de pimienta de cayena, 1/2 cucharadita de sal, 1/2 cucharadita de pimienta negra recién molida, 3 cucharadas de mantequilla derretida, 3 cucharadas de zumo de limón fresco, 1 cucharada de chalota picada, 1 1/2 cucharaditas de mostaza de Dijon, 1 cucharadita de tomillo fresco picado, 1/2 cucharadita de sal, 1/4 de taza de aceite de oliva virgen extra, 1 paquete de 5 onzas de rúcula, 1 onza de queso parmesano, afeitado con un pelador de verduras en tiras]que puedo hacer",cook
79,Quiero Hash de patatas y verduras de otoño  como se hace,cook
80,"Como puedo preparar 4 huevos grandes, 1 cucharada de mantequilla, 3/4 de taza de pescado blanco ahumado en escamas* (unas 3 1/2 onzas), 1/4 de taza de queso cheddar blanco rallado, 1 cucharada de nata para montar, * El pescado blanco ahumado está disponible en algunos supermercados y tiendas de alimentación especializada.]",cook
81,"Como se llama la receta con 4 huevos grandes, 1 cucharada de mantequilla, 3/4 de taza de pescado blanco ahumado en escamas* (unas 3 1/2 onzas), 1/4 de taza de queso cheddar blanco rallado, 1 cucharada de nata para montar, * El pescado blanco ahumado está disponible en algunos supermercados y tiendas de alimentación especializada.]",cook
82,"Que puedo hacer con 3/4 de taza de yogur natural, ""2 cucharadas de chutney de mango Major Greys"", 1 cucharadita de zumo de lima fresco, o al gusto, 1/2 taza de mayonesa, 1 cucharada de curry en polvo, o al gusto, 2 cucharadas de cebolla roja picada y más para decorar]",cook
83,Como preparar Solomillo de ternera con salsa de queso de cabra ,cook
84,Quiero Pan rallado integral ligero y crujiente  como se hace,cook
85,"Que hacer con 1 onza de bourbon, preferiblemente Knob Creek, 1 onza de vodka de frambuesa, preferiblemente Hangar One Fraser River, 1/2 onza de vermú dulce, Amargo de Angostura, ""Amargo de naranja, preferiblemente Regans No. 6"", Tres frambuesas, para decorar (opcional)]",cook
86,Como preparar Frambuesa Womanhattan ,cook
87,"Que hacer con 2 cucharaditas de semillas de hinojo, 1 cucharadita de semillas de cilantro, 1 cucharadita de granos de pimienta negra entera, 1 1/2 cucharaditas de sal kosher, dividida, 1/3 de taza de mayonesa, 2 cucharadas de zumo de limón fresco, 3 cucharadas de cebollino fresco picado, 4 dientes de ajo picados, divididos, 1/2 taza de aceite de oliva virgen extra, dividida, 1 zanahoria, pelada y picada en trozos grandes, 1/4 de taza de cebolla roja picada, 2 cucharaditas de tomillo fresco picado, 2 1/4 tazas de agua, 1/2 libra de guisantes de azúcar, 2 tazas de cuscús, 2 cucharadas de eneldo fresco picado, 2 1/2 libras de filetes de atún ahi (aproximadamente 1 1/4 pulgadas de grosor)]",cook
88,Como preparar Atún ahi en costra de hinojo con alioli de limón sobre cuscús ,cook
89,"Que puedo hacer con 4 onzas (1/2 taza) de champán o prosecco frío, 2 onzas (1/4 de taza) de Guinness Extra Stout fría]",cook
90,Como preparar Cuajada de limón Meyer ,cook
91,Quiero Café irlandés III  como se hace,cook
92,"Que hacer con 8 huevos duros grandes, pelados, 3 cucharadas de mayonesa, 1 1/2 cucharadas de estragón fresco picado, 1 cucharada de chalota picada, 2 cucharaditas de zumo de limón fresco, 1/8 de cucharadita de pimienta de cayena, 1/4 de cucharadita de salsa de pimienta picante, 8 onzas de carne de cangrejo, Ramitas de estragón fresco (opcional)]",cook
93,"Si tengo 1 pato, de 1,5 a 1,5 kg, descongelado si está congelado, sin menudencias, 3/4 de cucharadita de sal, 1/4 de cucharadita de pimienta negra recién molida, 3 chirivías grandes (aproximadamente 1 libra y media en total), peladas, con los extremos recortados y cortadas en trozos de 1 pulgada y media, 2 tazas de chalotas grandes, peladas (unas 10 onzas sin pelar), 2 cabezas de ajo, dientes (unos 30), separados pero sin pelar, 2 ramitas de romero fresco, 2 hojas de laurel, perejil fresco picado, para decorar, Equipo especial: Una sartén grande o una cacerola de fondo grueso (de 12 pulgadas de diámetro o más), preferiblemente antiadherente, con una tapa ajustada, Una cuchara grande perforada o una espumadera, Una gran bandeja de servir]que puedo hacer",cook
94,Quiero Pan de jengibre fresco con glaseado de limón  como se hace,cook
95,"Que hacer con 1 1/4 cucharaditas de levadura seca activa, 1 taza escasa de agua caliente (105-115°F), dividida, 3/4 de cucharadita de azúcar, 2 1/4 tazas de harina común sin blanquear y más para amasar y espolvorear, 1/3 de taza de harina de centeno clara u oscura, 1 1/4 cucharaditas de sal, 1/4 de taza de harina común sin blanquear, 2 cucharadas de harina de centeno clara u oscura, 1/8 cucharadita de sal, 2 cucharadas de agua, 1 cucharada de aceite de oliva, 1 clara de huevo grande]",cook
96,Quiero Panecillos de centeno con tapa crujiente  como se hace,cook
97,"Si tengo 2 1/4 a 2 1/2 libras de patatas Yukon Gold medianas, peladas y cortadas en cuartos, 3 ó 4 cucharadas de aceite de oliva virgen extra, 2 cucharadas de rábano blanco preparado]que puedo hacer",cook
98,"Como preparar Sándwiches de bagre frito con bacon, lechuga y tomate ",cook
99,"Si tengo 2 tazas de almendras enteras blanqueadas (10 onzas), 1 cuarto de leche entera (4 tazas), 1 naranja, 1 limón, 1/3 de taza de azúcar, 1 sobre de gelatina sin sabor (2 1/4 cucharaditas), 1/4 de taza de crema de leche, 3 tazas de agua, 1/4 de taza de azúcar, 1/4 de taza de jarabe de maíz ligero, 1/3 de taza de leche en polvo descremada instantánea, 1/4 de taza de hojas de salvia fresca sin apretar, 1 cucharadita de gelatina sin sabor (de un sobre de 1/4 de onza), 2 cucharadas de agua, 2/3 de taza de Disaronno Amaretto u otro licor con sabor a almendra, 1/3 de taza de nata líquida, 2/3 de taza de agua, 1 taza de azúcar, 1 cucharadita de gelatina sin sabor, Equipo especial: un paño de cocina fino (no de rizo); 8 platos hondos o moldes anchos de 1 taza; una heladera, Acompañamiento: 8 barquillos de miel de almendra salada]que puedo hacer",cook
100,"Que puedo hacer con 1/2 cucharadita de azúcar superfino, 2 onzas de club soda, 3 o 4 cubitos de hielo, 2 ó 3 onzas de whisky escocés o ginebra Club soda o ginger ale, Cáscara de 1 limón]",cook
101,"Si tengo 6 libras de partes de pavo, como alas, muslos y piernas, 3 cebollas amarillas medianas, sin pelar, recortadas y cortadas por la mitad, 3 costillas de apio, cortadas en trozos de 2 pulgadas, 3 zanahorias, cortadas en cuartos, 5 cuartos de agua fría, 6 tallos de perejil fresco (sin hojas), 1 hoja de laurel turco o 1/2 hoja de laurel californiano, 10 granos de pimienta negra, 1 1/2 cucharaditas de sal, Equipo especial: una bandeja de asar ignífuga de 17 por 14 pulgadas]que puedo hacer",cook
102,"Como puedo preparar 4 libras de carne en conserva entera, 5 hojas de laurel, 1 cebolla picada, 1 cucharada de mostaza preparada, 1/4 de taza de azúcar moreno, clavos enteros, 1 lata (1 libra 15 onzas) de melocotones especiados]",cook
103,"Como se llama la receta con 4 libras de carne en conserva entera, 5 hojas de laurel, 1 cebolla picada, 1 cucharada de mostaza preparada, 1/4 de taza de azúcar moreno, clavos enteros, 1 lata (1 libra 15 onzas) de melocotones especiados]",cook
104,"Que hacer con 1 a 1 1/2 onzas de ginebra, 1 a 1 1/2 onzas de vermut dulce, 3 o 4 cubitos de hielo, 1 cucharadita de Chartreuse verde]",cook
105,Como preparar Sandmartin ,cook
106,"Como puedo preparar 2 calabacines medianos, cortados por la mitad a lo largo, 1 berenjena japonesa mediana, cortada por la mitad a lo largo, 1 pimiento rojo, cortado en tiras de 1 pulgada de ancho, 1 cebolla roja, pelada, cortada en gajos de 1/2 pulgada de ancho (dejar el extremo de la raíz intacto), 2 tomates medianos, cortados por la mitad en sentido transversal, 2 cucharadas de aceite de oliva, 6 mitades de pechuga de pollo sin piel y sin hueso (aproximadamente 3 libras), 1/3 de taza de albahaca cortada en rodajas finas, 1 1/2 cucharaditas de vinagre de vino tinto]",cook
